id	phase	work_unit	description	dependencies	status
1	1A	alpha_store_infra	Add alpha_stores dict + join_asof to CrossAssetPipeline + tests		DONE
2	1A	funding_downloader	BinanceFundingRateDownloader + download script + tests		DONE
3	1A	funding_features	FundingFeatures group (6 features) + tests	1,2	DONE
4	1B	liquidation_features	LiquidationFeatures group (4 features) + tests	1	DONE
5	1C	regime_features	RegimeFeatures (3 features) + risk types + tests	1	DONE
6	1C	regime_risk	RiskManager.set_regime() + dynamic correlations + tests	5	DONE
7	1D	interaction_features	InteractionFeatures (8 alpha x TA) + tests	3,4,5	DONE
8	2A	feature_selection_protect	Add protected_prefixes to select_features() + tests	3,4,5,7	DONE
9	2A	hpo_objective	ObjectiveConfig + compute_objective() + trainer mods + tests		DONE
10	2B	vol_kelly	Vol-scaled Kelly sizing + tests	5	DONE
11	2C	sanity_checker	BacktestSanityChecker + tighten acceptance criteria + tests		DONE
12	3A	options_iv	DeribitIVDownloader + OptionsIVFeatures (5 features) + tests	1	DONE
13	3B	polymarket_fix	Fix recorder TODOs + PolymarketMicroFeatures (4 features) + tests	1	DONE
14	4A	pipeline_registration	Register all new groups in pipeline.py	3,4,5,7,12,13	DONE
15	4A	enriched_knobs	Create enriched knobs.json schema	14	DONE
16	4B	training_script_update	Update train_pulse_fast.py to support enriched knobs	15	DONE
17	4B	cache_regeneration	Regenerate .npz dataset with all new features	16	DONE
18	4B	baseline_run	Run baseline with enriched features, verify acceptance	17	DONE
19	5A	shap_monitor	SHAPMonitor with alpha_feature_share tracking + tests	14	PENDING
20	5B	logreg_trainer	LogRegTrainer + stacked ensemble + tests	9	PENDING
21	6A	alpha_validator	AlphaValidator standalone signal validation + tests	3,4,12	PENDING
22	6B	paper_validator	PaperTradingValidator + real_odds_provider + tests		PENDING
23	FIX_SIZING	fix_sizing	Unify bet sizing between paper executor and replay backtest — paper PnL=-$25.98 vs replay PnL=+$0.02 with identical trade counts (29). PnL units/scale differ.	none	DONE	reconciler
24	FIX_RESOLUTION_LOAD	fix_resolution_load	Fix load_resolutions() in replay_backtest.py — dict overwrite clobbers multi-prediction condition_ids, causing false PnL sign mismatch (-$26.96 reported vs +$210.96 actual). Must sum PnL across all resolutions per condition_id.	none	DONE	reconciler
